あか中2年山内彩花です！ フォローよろしくお願いします
女てにお疲れ様です笑 最高に寒かったね😂
@ayapeco0222 準優勝！！ふぁいと👍👍  いろいろと、ありがとね💗
@asami_73114   やばそれ同じ思想持っちゃってる（笑）同類や✸
@___rico2508   梅雨とかほんとだるいよな〜
女子力が努力しなくてもかってにあがりますように  #七夕の短冊2016
RT @PB0hoTDBc845RIK: あやぽんと七夕 https://t.co/4LI7MtWwnF
@na2_8030  ななこ！行こ！
@lj_0930  それはやばないか？？（笑）
@lj_0930  最後までずっとついてって家特定しろ！（笑）
@___rico2508   は（笑）それって可愛いの間違え？？？
@___rico2508   そこ肝心なんだけどwwwwwwwwwwwwwwwwwwwユルシマセン
美味しいもの食べたくなってきた（笑）
中横野球部ファイト！
大樹ちゃんどこにいるの〜 グランベリーとか言ったらわたしほんと死にたい😢🌀🌀🌀
@Sou1Zero  おお〜やってくれてありがと！ 今度機会があったらお話しよう（笑）
待って😢😢😢😢😢大樹くんグランベリーとかほんと何〜  嫌な予感してたけどホント最悪👎土曜日学校なくなれよまじ
え💦こどもの国線に人がいっぱいいるんだけど何があんの今日wwwwwwwカラフルな人多い（笑）
こどもの国にももクロ来るのかな（笑）やばい（笑）
RT @PB0hoTDBc845RIK: 山盛りポテトじゃないよ💟💟 山内ポテト  ポケモンGOであの世へGOでもしとけデブ👩‍❤️‍💋‍👩 https://t.co/HZGSGk4oht
@___rico2508   まじ大樹くんとかどこの位置なんだろwwww
@PB0hoTDBc845RIK  おい冨森（笑）顎いじりいらんしみんなに申し訳ないからやめてくれ😇💟
@foreverlove617   ありがとう〜😳💟わたしもぜひお話したい！！
最近ホントいちいちバスケかっこいいわ〜  もう雰囲気がいいよねほんと😳💟
@colorful_1124  くっそくだらない会話しかしてないよね（笑）（笑）楽しすぎたまた行こ！
@ayapeco0222  お台場いた〜！💟💟
@yumetouchida  やってくれてありがとーう😳多分わたしLINE持ってる！よろしくね〜
藤井家集結Mステ！！😳💕
ポテト食べたいな〜地元の祭り行きたいな〜宿題終ってないから行けないな〜
@m28227056  まじか（笑）行きたいwwww
@m28227056  美月が売るとか食中毒こわwwww
@m28227056  まじ当たり前過ぎそれ（笑） え〜焼きそばだけ買いに行こっかな
LINE続けるの苦手（笑）（笑）
@m28227056  待って（笑）わたし唇の色素無いんだけどwwwwww
PKCZ今回も豪華でかなりテンション下がったけど何より大樹が来なかったことになんかテンション上がっててわけわかんない（笑）
RT @akur__: 臣くんはおまえらみたいなブスは眼中にないとか どうせブスの嫉妬だし所詮おまえは彼女でもなんでもないんだから黙れ とかいうツイート見て全然関係ないのに心が痛むジャニヲタ(私)
あっつい死ぬ（笑）台風どこいったのwwwww
@akur__ イケメンハイタッチってSTのやつですか？😍
@yuusukehasshi  はっしーお誕生日おめでとう🎂🎉
@yuusukehasshi  おうおう👌もちのろん！
千葉くんに会えるの楽しみや〜👀💗なんて言おう（笑）家を売ってくださいとか？#散れ
台風🌀頭おかしすぎかよ！勝手に起こればいいけど人間に迷惑かけないで静かにしてほしいわ💥責任とって大会延期にしてね😙💗
待って（笑）いつもどうり台風に負けないような大声で歌ってたら自分相当音痴って気づいてしまったかもしれない😂😂😂
RT @RemiK1254: ほのか橋の階段のところで落下して足負傷
EXILE単独ないってこと？無理なんだけどねぇATSUSHIさんなんで日本にいてよ😵💧
わたしの生きる力である大樹ちゃんを悲しませるようなことは絶対しないで💧
RT @basu_koi: ちゃちゃ〜ん🌴 そしてこの人！！！ ちょっとやんちゃな高校1年生🃏✨土屋くん達の後輩です。誰よりもバスケが好きでバスケが上手でバスケと真剣に向き合うオトコ、矢吹瞬役に吉沢亮さん🐰 #バス恋  #藤ヶ谷太輔  #山本美月  #吉沢亮 https://t…
RT @09_take_29: ダンス部の発表は 1日目11時20分〜11時40分 2日目11時30分〜12時10分 です！叫んでください！盛り上げてください🙏🏻私たちに1番近くで色々なことを教えてくださった先輩方最後の文化祭です🙏🏻きてください🙏🏻
明日ダンス部来てくれる人は、1回は山内って叫んでね💥あとは、歓声とか拍手で盛り上げてくれると嬉しいです👀💞
RT @cassioriko__99: 男装は西辻未侑に投票してね！！！！ https://t.co/L8ZAyPR7D0
RT @Ul___Bass: みなさんのおかげでMr.コンテスト、女装コンテスト、両方ともグランプリいただくことができました😭😭😭✨ ありがとう😭😭😭😭✨2冠超嬉しいです😭✨写真撮ってくださった方DM等で送ってください！！！ほんとにありがとう😭😭 https://t.co/n4…
カラオケオケオケ♪
君の名は見るべき？（笑）誰か見に行こ〜
日焼けして赤くなってるとこがりゅうちぇるのチーク感いなめないwww
@Orange_i7SG  明日にはなおってるよきっと爆笑
この間撮った人も撮ってない人も写真撮ろ〜〜👏わたし緑組です！！
RT @Ri__sa14: @katsuyatakasu 敬愛する先輩が顎の長さに悩んでいます。なんとかなるでしょうか？
RT @katsuyatakasu: なんとかなります https://t.co/xDAXWLFN7r
宇野くん久びさに見たけどやっぱかわいすぎ〜💗💗💗
インスタにコメントしたら知り合いに見られる機能やめて欲しいです！！！！！！切実に！！！
RT @yetmixi: @ayapeco0222  先輩の愛の告白を見てしまったという！！
(求)わたしに化学を教えてくれる激優しい人  誰か教えて〜〜😵💧
今日マフラーは早くない？笑
無性にポテト食べたい！
最近、池谷が最強すぎて池谷大好きとか通り越してもはや池谷教信仰してる👏
RT @001129_tomo: このとっても大事なテスト直前の授業  ふと思って描いた鳥獣戯画に時間を費やしてしまった。 https://t.co/v6BijCMSDu
大樹見たからがんばるわ〜
おなかすいた〜けど食べたらデブになるからもう寝よう
現社も古典も勉強の仕方がわからず、まったく進まない（笑）
少々仮眠をとってからぼちぼちやりますか😇
今起きたことに自分でも信じられないプチパニック💥 https://t.co/fnKJrB9hxz
数Aがわからなくて嘔吐だわ😇
昼間勉強しておけばよかったって後悔したけど、明日もどうせやんないしあか中の文化祭行きたい！！！！！
数Aなんて、テスト問題空き巣にお金の入った袋と間違えられてまるごと盗まれて中止なっちゃえ！！！
最近Twitterの浮上率高くなったわ〜なんでだろ　#現実逃避
中間の打ち上げしたいンゴ
大樹くんいつも幸せをありがとう(;o;)最高級に幸せ
ヤンキーになるにはどうしたらいいですかね爆笑
今日のコナンの最後の方笑い止まんない（笑）
RT @001129_tomo: あー死にたい死にたい死にたい死にたい死にたい死にたい死にたい死にたい死にたい死にたい死にたい死にたい死にたい死にたい死にたい死にたい死にたい死にたい死にたい死にたい死にたい
明日のハロウィンでお菓子を恵んでくれる方は1-11-34山内まで✋待ってるよ〜〜
RT @dehndehn1003: やり直し 現実逃避してきた😝 https://t.co/z7fu31YZrM
RT @na2_8030: 昨日、ディズニー行ってきたよん🐭💕 寒かったけどすいてたからいっぱい乗ったしいっぱい写真撮った！！！ またいきたい〜〜〜〜〜〜〜〜〜 https://t.co/Hbwu9U7dBG
RT @17_chihaya: 2016.10.30 Halloween Disney🐭👻🏰🎃💗  1日があっという間に過ぎてった😭 今度はあやのんも一緒に行くんだんだんだ！！！ 最高すぎたよね〜ほんとに〜すき〜らぶ〜 https://t.co/vEHXo8N36C
暇すぎて死にそうだから髪切りに行くか💨
RT @001129_tomo: @みなさま  たつみゆーたです お納めください  かわいすぎか。 https://t.co/V9gZxWjUrb
RT @17_chihaya: 辰巳って今でもこの表情するよね変わってないんだねってみんなで話して笑ってた今日 https://t.co/hejtzj5LxL
インフルの注射ってこんな痛かったっけ？？こんなんでかかってしまったらアホらしい死ぬ💥
@G9Rvq  さやかたんお誕生日おめでとう💘いっつもいじわるしてごめんね♪───Ｏ（≧∇≦）Ｏ────♪それだけ大好きってことだよ！！バイキング行こうな〜〜⤴⤴これからもたくさんお話ししてねらぶ！！！！
なにこれワロチ（笑）（笑）塾のとこに臨海も入れて！！！ https://t.co/tcLldi8FAI
けいてぃに負けて軽く殺意🌱
筋肉痛で生活するのが不自由すぎる（笑）（笑）（笑）
今日電車の目の前に座ってた男の子くっそ可愛かった🐇💨
来週、寛太くん胸キュンスカッととか1週間かけて死ぬ準備しとかなきゃ😳💘みんな見てね！！
早見あかりちゅわんを見たらしい😳💘（笑）
ちょっくら体重減量でも頑張りますか（笑）（笑）
スクール革命かなりの癒やし（；；）かわいい幸せ
いやぁ今の寛太くん何？？ねえ？？
タブレットでTwitterとかかなり疲れるだるすぎ！！！！！！
最近、首とか肩とか痛すぎでしょ！！完全に運動不足！！
RT @001129_tomo: バッグからこれ落っこちて めっちゃ恥ずかしかった  電車ん中で 「あ、すいません…あ、すいません」の連発やわ https://t.co/5ChIXoSeEY
はぁ、、、大樹人生初の金髪だって！！！！！イケ化、、、
やる気喪失なう
@Kikimona0546  待ってあごみじかくす…まじ笑ったw w w w
高校生ってまだこどもだよね？？（；_；）大人の階段なんて一生のぼらなくていいやって思った
まだ何もやってねぇ（笑）（笑）（笑）
この時間までぼーっとしてるだけとか時間を派手に使いすぎた（笑）
暗記系3個とかおもすぎカスすぎ！！！！これはなめくさってる！！！！
携帯修理出したらAndroidの絵文字がわたし仕様になって帰ってきたんだけど… https://t.co/rDN4HEcvIR
やべぇまじで全然集中できないさっきから進んでない(笑)
今の夢が夢で良かったって心から思ったわ😖💧現実っぽい夢まじやめてほしい(笑)
いや～漢字多すぎ捨てるわ
もう夜中のテンションでもはや化学楽しくなってきた(((o(*ﾟ∀ﾟ*)o)))新しい発見たくさん😝🌼
いやぁこれから現社やろうと思ったら範囲どこかわかんなくてやる気なくしたわ～😖💧
あぁテスト終わって病むわ 一度は大樹のフリスビーとりたかった人生だった😭
ドクターX見たあと意識失ってたわ(寝てただけ
みんなの癒し要因になるべく準備に手を抜けないから丁寧にゆっくり準備したら、おごれとかわたしの友達どうかしてるぜ😃
焼き肉美味しかった～😻
いや、配点15点はきついだろ(笑)全員⭕にして
ひさびさにこんな遅くまで寝てたわ～(笑)
遊びたい遊びたい遊びたい！！！！！！😻
宇野くん三位⤴⤴
(求)素晴らしい才能 (譲)わたしのへぼい才能
年末アメトーク来ました👏楽しみ～～
RT @manaloveduffy: 電車でカップルガン見しちゃったら、見てんじゃねーよ非リアって言われたんだけどそんな非リア顔してるのかな？まぁ非リアだけど😉
RT @MSLpN5xiejmc2Ho: ダンス収録のためEXPG大阪校に行かせてもらいました！ なんと講師の先生はEXILEさんのメンバー山本世界さんと佐藤大樹さんでした😳 最高なクリスマスプレゼントありがとうございました🙏感謝です🙏 #イキザマJAPAN #小藪のクリスマス…
わたしも卓球選手になろうかな…😢
前髪死んだおえ
いや～flowerの席微妙(笑)
明日ぼっち町田デビューだわ(笑)
遅刻しちゃう意識低い系女子です💩💩💩
絶対なんか忘れ物した気がする(笑)
待って😿大樹くん手大丈夫なん？？？？
油摂取しすぎてしぼう(死亡&amp;脂肪)  いやうまくね？？？💩
宇野くんフリーに期待やな😿😿
迷宮ラブソング2014年も歌ってたような気がする(笑)
このままだと年賀状余っちゃうからわたしからの年賀状もらってくれる人いませんか！！(笑)いいねしてくれたら、適当に住所聞きにいきます🙏⚡
宇野くん～～😹💙感動した最高だったようううう
初優勝おめでとう👍🌹
まじ、スケート面白いし見た方がいい！！！中3の期待の新星発見した🌠
高志郎くんやべぇかわいい(笑)
なに！！ジュニア勢みんなかわいい！！！
年賀状住所しか書いてないのに、親がポストにもってきやがった😒💢💢本当に申し訳ないですが、メッセージないくそ年賀状が皆さんのもとに届きます(笑)(笑)(笑)
くっそ足いたい！！成長痛？？？？？(笑)(笑)
まじ足いてぇなんなの(笑)(笑)
ベッキーや！！！！
カンニング竹山かなりいい先輩すぎひん？
なんかさ、しっとりした地震の揺れほんと嫌よね😿😿
れい！！！
めんどくさいやめた(笑)(笑)(笑)
はやく年明けて佐藤大樹にあう予定をください
次AKB～～😹😹れいれいれい🙏🙏
さやかちゃん😹😹
やばい歓喜👑わたしまで震えて泣けてくる
れい本当におめでとう😂😂😂😂
まってじわるwwwwww
YOSHIKIさんピアノもできてドラムもできてすごいわ(笑)(笑)(笑)
なんで赤なの(笑)白と赤の差めっちゃあったやんwwwww
今年の紅白ちょっとどうしたの(笑)(笑)
EXILEみれない分、セカンドさん見れて本当に幸せ💍
啓司さんはっちゃけてたね😚❤泣ける
HIGH&amp;LOW2と3か～～😿😿今年もチハルさんんんんん
今年初大樹無事拝めました😻今年もよろしくお願いします💍✨
【悲報】 年始早々、妹に嫌われる
漢検の本おばあちゃん家に忘れてしにたい😿😿😿
宿題終わってないけどどうする？死んだ
今日は神おしゃれな人々と遊べてよき思い出、よき経験となりました🌹ありがとうございました
公約が幸せすぎる🌹想像するだけでも、よだれ垂れるわwww https://t.co/XDczyzswmr
マクドナルド愛してるわ😗❤❤❤❤
暇なのwwwww嬉しくもなんともねぇ(笑)(笑)(笑) https://t.co/JKFHrZ9WAw
いちいち引用するとかどんだけわたしのこと好きなの？❤❤❤ https://t.co/Bbe9s9BSBE
RT @rorosn18: は？課題と戦っとるだわ、このクソ山内め、我は今日から学校なんだよ、マジふざけんな神奈川とかふざけんな赤レンガ倉庫連れてけクソ山内 https://t.co/8DefVQcjYq
RT @rorosn18: 大嫌いだから引用してんの😙😙😙 https://t.co/5oOXpLsy5F
土曜日もなんで学校あるの無理
宿題やんなきゃってわかってるけどやれない自分病気🚑
おい！！出会いなかったら絆生まれてないぞい(だまれ) https://t.co/8OG9XFOrei
ちょっと嬉しいことあったから勉強頑張れるわ😻⚡
寝なくても元気に生きられる能力がほしい(笑)
新しい土曜のドラマ、ちょっと見ただけでも母親がうざくてムカつくんだけどなにあれ
こどもの国線遅延って何やってんの(笑)
いやハピちゃんファイナルEGメンバー来たの強いわ👋👋
はやく大樹くんに会いたい死にそう
ねえだまって(笑)(笑) 【会いたい度】 大樹くん&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;お前 https://t.co/9ExgttFw65
まじこどもの国線なんなのわたしが乗ろうとしたのにドア閉めやがった毎日使ってあげてるんだから感謝しろよ
それだけは避けたい💩じゃあ】会いたい度:大樹&gt;&gt;&gt;&gt;&gt;片山さん】でどう？？減らしてあげたよ https://t.co/GgRNdz189a
山内のくせにとか片山のくせに言われたくないわ(だるい)横浜来てはやく👋お金貯めて？？？？ https://t.co/WVJZkL4bbM
ねえ怒らないでごめんね愛してる👋❤待て(笑)片山もmountain爆笑 https://t.co/ch8sdEOXot
まじじわったわwww ダブルmountainだからこその片山内として山を共有できるんだよ！！！(奥深い) https://t.co/3jvhxR3S10
安心して👋常にあなたをいろんなとこからサポート⚡⚡mountainは土(お前)と樹🎄(わたし)が支えあってできてる https://t.co/sJZI9CN5kF
ただ乗り換えしただけなんだけどじわるwwwwww  Sorry, I can't 散る . https://t.co/FSrPfZxfpe
もう明日大樹くんの誕生日なんてとてつもなく緊張してきた✋✋とくに何をするって訳でもないのに、病気だわたし😹😹😹
大樹くんお誕生日おめでとう😹❤もう22歳ってはやすぎね✋どんどん大人になってく大樹くんの成長をこれからも見守らせてください(誰)大好きです🙏🙏🙏🙏🙏
まって北ちゃんしんどい😹今日は幸せな一日でしたねほんと👋👋
RAMPAGE行きたいけどどうせ人えげつなくて死にそうになるし、ぎりぎりだからそもそもハイタッチできるかわかんないし泣きそう
明日遊びたかったンゴ～😿😿
まじ勉強してなくてやばい😹(笑)誰か本当に一緒に勉強してください🙏渇をいれてくださいほんと👊👊
今日は～夜更かし～らんらんらん～
とりあえず眠すぎる✋オールとか一生できないわ😹😹
FANTASTICS佐藤大樹😹😹😹
本当に暇人なので、遊んであげてください🙏 https://t.co/AD31R4EAiN
@0084sone 有名になるチャンス👏
RT @manaloveduffy: まじ楽しかった😆🌟 おしゃべりも笑いも歌も止まらないみんな好きで泣いた😂 恵方巻きも北北西向いて食べて、永瀬廉に会えるかなって願ってたけど会えなかったね笑 またすぐ出かけよう❤ https://t.co/fZbTQP7vWW
RT @NINA_K_2727: めーちゃくちゃ楽しかった❤️❤️ ずっと歌ってたしずっと笑ってた！ ありがとう😊インスタライブ見てくれた方ありがとう笑 https://t.co/bYRk83XKws
RT @yetmixi: ディズニーしてきた！ 楽しかった😜💖 https://t.co/6pzLaXgHkp
宿題何一つ終わってない+古典単語何一つ覚えてなくて時間巻き戻したい🕐
誰かハートピザシェアしよレッツパーティー
LINEの友達追加にまじで誰かわからない人いるけど知り合いな気がしてすごい気になる
大樹の活動多すぎてほんと泣けてくる😿新たな作品2つもあるとか楽しみでしかない
明日は私立の受験？？しんどいのもあと少しだね👏受験生頑張れ
RT @yolo_kanap: ツイッター始めました😊 フォローお願いしまーす🙏🙏
RT @AbemaTV: #STREETKINGS 独占生中継🤘 【いよいよ明日】その迫力はプロスポーツ競技！ストリートダンスNo. 1決定戦！中継番組MCの佐藤大樹、大会MCの小森隼からコメント動画が届きました！視聴予約をしてお楽しみに！ 12日ごご2時▷https://t.…
RT @rei_0428srxx: 自由が丘行ってきた☺️💞 笑いが止まらなかった～～～～～ ひたすら笑ってたね楽しすぎた✌️✌️ 可愛いで溢れてたし美味しいで溢れてた❤ また遊ぼうね💋💋 @0v0_dnb https://t.co/DdzmisQnj3
大志くんかっこいいかわいい面白い素敵
漢字の本学校おいてきた死んだ
RT @aina20950: @ayapeco0222 送ろうか？イケメンだから
漢字送ってくれるとかかなりイケメンすぎて惚れてまうやろ～～
1月25日からずっとランペを流せと騒ぎ続けて今日やっと夢が叶いました🙏放送委員愛してる
啓司さんの上半身も拝めましたありがとうございました😻
LINEはじめたての子って返信早いし無駄にスタンプ使うしかわいすぎかて😻😻
ポケモンGO新しいポケモン追加されてうれぴ～❤
アメトークやばいというよりドラえもんやばい(笑)(笑)(笑)
わたしのあごの骨で味噌汁の出汁とりたい人いたらいくらでもあごの骨あげます👊
なんでこんなに雨強いの？このまま降り続いたら宇宙から見た地球全部青くなるよ？？
RT @aina20950: 山内はぴぱ。 無駄に携帯に自撮りあったからまとめて見たよ😊 ママたちも仲良いなんて本当に運命だね、 いつも冷たくしてるけどめちゃめちゃめちゃ好きだよ😊 優しくて面白い山内。ラーメン行こうな🍜 ステキな16歳を！！  @ayapeco0222 htt…
@aina20950 ねえねえ全体的に死んでるけど愛菜が一番だよ😻❤大好き愛してる80円
@mizuki_1539  好き好き大好きありがとう～😊素敵な1年にするためにはやく彼氏作るね
RT @yolo_kanap: 山内はぴば〜 地元同じだから最初からなかよかったしめちゃ話しやすい🗣 いつもへんなことばっかしてるけどしっかりしてて面白い山内らぶだよ💕 インスタとラインもみてねん😊😊 https://t.co/2PgfxM62TT
@yolo_kanap  全部やってくれるあたり本当に素敵👏ありがとう大好き❤🌹
@17_chihaya こちらこそいつも笑ってくれてありがとうだわ👏❤遊ぼうね！ありがとう
RT @yu_lllr_: @ayapeco0222  山内誕生日オメ！！！！！ https://t.co/3ClZI7MaZO
@yu_lllr_ ありがとう👏❤
RT @Ri__sa14: @ayapeco0222 山内先輩～～😻😻😻お誕生日おめでとうございます😻😻😻😻😻また早く遊びに行きましょ～😻😻😻らぶ～😻😻😻😻😻大好きです～～😻😻😻😻😻😻
@Ri__sa14 圧倒的出会えてよかったりさたんありがとう❤大好きだからはやく遊ぼう！！
@maru0621_mari  ありがとう～😆✌
RT @hgwr_122: @ayapeco0222  あやちゃんおーめーでーとー！！！😳😳😳😳😳😳😳😳😳😳😳😳😳😳😳😳😳😳😳😳😳😳😳😳😳 同じ誕生日いえい！！！！
@hgwr_122 りかっちょもおめでとう👏ねぇ砂小で集まる企画とかしてください(笑)
@149_______  まみちゃんありがとう🙏❤本当にまた遊んでくれると嬉しい！！
@rorosn18  有り難う御座います💩いつもボイスメッセージや動画を送ってくださって自慢の妹です。はやく会いたいよ16年ぶりに😹赤レンガとマックはまじ約束な👌
@mrn_115  まり～😻❤ありがとう！！
@hgwr_122 まじそれな(笑)もう高校生だよ？はやすぎ
@ab2t_i あやの～んんんありがとうありがとう🐸💞もっと話すしか！！！
@ayaka5125 ありがとう👊まじ久しくあってないね会えたらいいね💩💩
@sora150224 そらちゃん～～😍ありがとう！！嬉しいことだらけ！！わたしも好きよ～
@yu__hira0125 平塚～ありがとう！！ダンスこんど見せてあげるね👯👯👯
@maki120711 え！バイト民愛してる😻ありがとう！！カラコンね(笑)(笑)
@m_ns027 さすがです倉田さんありがとう🌹懐かしすぎる会おうじゃないか(笑)
@yui_h_0710 は！せ！ゆ！い！長文ありがとう❤❤らぶ❤❤
@natsuki_peace06 なつき！！😻ありがとう！！わたしも大好きだよ！！らぶ！！
@tkd0904 TKDありがとう❤😚懐かしいわ(笑)絶対遊ぼうなやくのそく！！！
@na2_8030 ななこぉおおおおおお👊ありがとう！！！今度、遊ぼう✨わたしも大好き～～！！！
@96sg___ 莉子～ありがとう！！！あそぼあそぼ！！😻
@__PeachO7 超人顎ぽん個人的に気に入った👊❤ありがとう！！！遊ぼ！
@xx__aiko まって動画とか圧倒的嬉しい😻ありがとう！！！はやく帰ってきて👏👏
@__sanashima37__ しまさなちゃんありがとう～🎈嬉しい！！(笑)
@GekikaraHaru ありがとうございます！！先輩方が引退されちゃうのほんと悲しいです😹💧あと少しですが、よろしくお願いします！！
@riiiiin_flower いつもお世話になってますねありがとう👏❤大樹くん極める任せて！！
@risa140816 りさっぴわざわざありがとう～❤😚
@anna_riel_ 愛しい杏奈ちゃん🐰❤ぜひ遊びたいです遊んでください(笑)
@ryoka_ponta りょうかちゃん学校でもありがとう😹❤嬉しかった！！りょうかちゃん好き～！！！
@0426_haru はるきゃん！！ありがとう！！仲良くなっちゃお！！わたしも好き😍
@suzuna_nino すずなちゃんわざわざありがとう～😍
@hitoki_GRCReW ありがとう！これからも池谷と仲良くしてあげてください(笑)
@dehndehn1003 でんでんに関心持たれて嬉しいありがとう！！❤まじブンバイヤーだわ(笑)(笑)ありがとう！！
@Fumika8833 ふみか！！ありがとう！！遊びたい！！😹
@Mrs__oO さあやちゃんありがとう～😍ぜひお話ししよ！！👌
@_mymy38 いつも名字忘れちゃう○○まいちゃんありがとう✌🎈ばいばいしないで爆笑
@A_melo_Y あゆみちゃんわざわざありがとう～😻
@0v0_dnb 三ツ谷！！ありがとう❤❤わたしもすっき～👊
@ArashiYuka84 ゆかあざい✌✌わざわざ画像までありがとう嬉しい😍
@mokoko_027 桃子ちゃんわざわざありがとう～😊
@happys2haruka はるかちゃん本当に久々やね～😆わざわざありがとう！！
@ZWoOcywYmB7vu99 さき～ほんとプレゼントセンスよすぎた👏かわいいさき大好きよん！！ありがとう！！！
@_super_fresh_ まりんサンクス👏ほんとに遊ぼう？ねぇ(笑)
@_____A04__xX あさみんありがとう～✌🎈バイト頑張ってね😁
@_Marie_1219 まりえってぃありがとう🌹じゃあ、遊んだとき写真たくさんとろう😆💞
@hgwr_122 まだ小学生だったよね？爆笑つらすぎ
@rorosn18 散らないけどさ、言いたいことはわかったようん👌
@___sk_24 さきさきありがとう👏❤今年もファン活今から楽しみだよ👏大樹愛深めるねあざい！！！！
@Nonpori_0326 のんぽりありがたいマン😆❤また笑わせてあげるよ遊ぼうな！！！
@Reikappi2424 れいかっぴありがた～😻ほんと会ってない！(笑)今度31行くわ
@Hrk_K0529 はるかちゃんありがとう😍受験お疲れ様だね！！！また会えるまでギャグ考えとくね！！👊
@Skrn_ny さくらちゃんありがとう😻❤わたしも会えて嬉しかった～✌また会おうね！！！
RT @0084sone: #HappyAgoDay @ayapeco0222 https://t.co/mQx0UO7SlC
@0084sone 圧倒的山内がち勢くんありがとう👏ポテトね！！！！
RT @ecayuko: @ayapeco0222  やまうちハピバ！！💗みんなと仲良くて楽しいやまうち好きやで😻 https://t.co/FJnINaWf7V
@ecayuko あゆぴんありがとう～🐰今度こそ遊ぼうや
@The_____Who 賀川wwwまた学級委員会いたいわ💩ありがとう！！
@a_i_k_a__317 愛華ありがとうん❤ほんと接点ないのに仲良くなれて嬉しいわ(笑)こちらこそ、忘れ物したときお願いします🙏
@lzue_m いずえ！！！生きてる？(笑)久しく会ってないよね遊ぶよ遊ぼう👋💞
@sora150224 ほんと？？縦割りも一緒だったのに✌❤頑張ろうね！！
@miyusato11 未遊ありがとう！！いいね来たとき遊びたいなぁって思ったンゴ👏てことで遊ぼう！！
@riri_140424 りさほちゃん😇ありがとう～！！
@ryoka_ponta 嬉しい❤新歓頑張ろうね！！
@rei_0428srxx れいれいありがとう👌いいことかいてあるぅ😆また、彩ちゃんの架空レポ楽しみにしてます！！
@mana_2625 まな～✌ありがとう❤テニスしたい！！！
@gr21_yuibad 優衣ちゃんありがとう😆❤こちらこそ仲良くしてくださいませ👏
@xx__aiko 幸せをありがとう藍子たん🙏❤田園地元会(笑)企画たのんだwwww
@Ooo___ui @_super_fresh_  ゆいねっちありがとう💩謎メンだけど楽しそう(笑)
RT @h0i4n1a1: 山内ハピバ！ 写真なかったから山で！🗻 いつもへんなテンションでたのしいよ🗻 良き一年にしてね🗻 🗻@ayapeco0222 🗻 https://t.co/cxvX7Rov9O
@h0i4n1a1 画像のセンス(笑)(笑)(笑)ありがとう！！！❤
@ckdoon__ ちゃきどぅんありがとう😻お話ししようそうしよう👌
RT @c_RADEST_1027: いつも笑わせてくれてありがとう(´；ω；`)ほんとに来年クラス一緒なれないの悲しすぎて禿げる(´；ω；`)オリエンやり直したい(´；ω；`)どうしよう山内とクラス離れるのほんとやだ〜(´；ω；`)2年になっても遊ぼ(´；ω；`)とりまテスト…
@c_RADEST_1027 新川ありがとう😹なにこのパクツイまじ感動した😂😂
@c_razy_for_you もちろん、覚えてるよおおおお👌ありがとう！！！！！
@Haruki05123 はるきくんありがとう～😊
@R_riiiiin りえちゃん😻ありがとう！！！
@SgT9JFaOK3R2Mst 野口～～😹スキー頑張れよ！ありがとう！！
@shohana10073 どうもありがとう！！😆
@78_Rapunzel ななはありがたい🐰🌹遊ばなきゃやね(笑)
@rei_0428srxx めっちゃたのしそうやな笑また遊んでな👏
@hgwr_122 アリオ上等じゃねぇか👏(は)
@96sg___ お誘いさせていただきますね😆❤
@wimper__mk  ももかありがとう～👏❤お誕生日お祝いしてもらったね懐かしい！！会える日までさようなら(笑)
@happys2haruka あたりまえ～！機会があったらぜひぜひ😊❤
@_daiki_0509 大樹くんわざわざありがとう～😁
@shui_1207 しゅいありがとう✌❤わたしも、大好きだよん
@0084sone またデートのお誘いするね❤
@ryusukebas 松本くんありがとう✌悪い噂じゃないといいな(笑)
@shineejuni じゅにりんありがとう😹❤楓もつれてどっか遊びにいこ！！
@grm_haruka 乙女なしょじばるありがとう🐰❤わたしも大好きまた遊ぼう！！
@rueru02151 ありがとう！！！！！😆
@Taishin0617 わざわざさんきゅ～～😇⚡
@Marimariko0615 まりこちゃんありがとう😻❤こちらこそよろしくね～！
@riku7riku7riku1 わざわざありがとう😊🎈
@c_RADEST_1027 待ってるぞ！！！
@na2_8030 遊んじゃお！！遊ぼう！！！！
@R2u2R7i るりちゃん❤わざわざありがとう～！！
RT @PB0hoTDBc845RIK: 🤢😋🤢@ayapeco0222 🤢😋🤢 お誕生日おめでとう 出会ったのは中学生 身長も一緒にアゾも伸びて行ったね 最近では顎でラインも返せるようになったとか…🍡 とりあえず、国線で山内と会うととってもテン下げになる😍 やっぱ山内は運命だ…
@PB0hoTDBc845RIK ねえねえなんでこんなブスな写真ばっかもってんの(笑)みほちん大好きだよ❤❤暇人遊ぼう
@yuka3028Y ゆかこちゃんありがとう～😇またお話ししようね！！
@Nonpori_0326 もちのろん！！
@0426_haru はるきゃんとはぎゃん仲良くなれる気がするぜベイベ⚡⚡
@SEIYAREAL1007 せいやくんわざわざありがとう～😊
@yonehayato よね～！！ありがとう⚡
@Orange_bass_ars みほ！！！サンクス！！！！👏👏👏
@chiichan__27 ちひろちゃんわざわざありがとう❤❤
@im38050035 いっけ～ありがとう！😻元気に生きていこうと思います(笑)
