@__Qt_m  あかりんありがと❣️❣️❣️ 嬉しいです😍😜
@s4alx_gr  りこちゃんありがとう😽💕
@ai25mm74zo たなさやあざす😝😘
@HukuNatsuki  ありがとう😿💖
@94_exactM  ありがとうございます😿💕 ほんと早いですよね！😂😂
@_____rr02  ありがとう😁❤️❤️ いやあねえええ😘😘😘
@_____nemui____ あり(((o(*ﾟ▽ﾟ*)o)))
@shii_____84  ひろちょありがとう🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳🐳
@n_aaa_tk  なつきちゃんありがとう😽❣️
@Nn_m_n_1  まりんせんぱい！！！！😍😍 ありがとう😽😽😽😽 まりんせんぱいは〜？？？
@riko_funfun43  ありがとう😍 うん！ちょーしあわせ😂😂😂😂
@___ohayo______  変態か！！！！笑 ありがとう😂❣️❣️❣️
@___NZM73  ありがとう💖🙄
RT @6xPZGo1ZPICg3ru: 今日で半年〜💕💕 長かったり短かったりしたけど、ほんとに楽しかった😆😆 これからもよろしくね🐖😘🙇🙇 https://t.co/tNMQKJXT4H
@bamana0514  ありがとう😳💕💕
@makun__27  なおありがと😽❤️❤️
@sc_atsu724 ちかこちゃんありがとう😳😳❣️
@yuki__0127__n  ゆきのちゃんありがとう😭😭💕
@komayann0608  あおいありがとう😆✨✨ 照れます😳❤️❤️
@bake_0004  ありがとう〜😳💖 そんなに褒め倒さないで😂😂😂 待っててね😽😂😂😂
@kanayan_0510  ありがとう😍😍
@amusutaa23  まいまいありがとう❣️❣️❣️😽
@6Imm2 めいちゃんありがとう😳🌸💗
@whiteangel0529  てんしありがと❣️😽😳
@june_1706  ありがとう❣️❣️❣️ あたしもいつもジュネちゃんかわいいってプリ見てる😍
@_nana_heart_  ななちゃんありがとう😁💕
@pomu2oh_yuina  ありがとう😿💖💖 だね❣️❣️よろしくね😘😘
@_M_3939  ありがとう😭😭❤️ 嬉しいです😳😳😳
@ail_25r  かんなちゃんありがとう😆❣️
@___oorin  いえいえ！！照れますううぅ🙄🙄💗
@Konb___0119  ななこちゃんありがとう😆😆 いやあねえええ🙄💗💗 話そ話そ話そおおおう😍😍
@mitsuki000921  みつきちゃんありがとう😆❣️ そんな全然😭😿
@bake_0004  え？部活じゃなくても会いたいわ🐳🐳🐳🐳🐳🐳🐳
@sakura__baby  アリガト？？？🙄💗 いや、きみ、、、、 勝手に人の携帯から写真自分に送るでしょ？😽😽😽😽😽😽
@m_hiny__  ひなたちゃんありがとう😍😍 😍 嬉しい😳❤️
@syakura_3_9  さくらー✨😁 ありがとう🌸😽😽
@sara060409  たなさらー！！久しぶり！ありがとう😂💕💕
@am_10tru3776  あまねちゃんありがとう😆❣️❣️
@renamin15  れなちゃんお誕生日おめでとう🎂🎈🎉
@ayari0105  あやりん🌷 お誕生日おめでとう🎂🎈🎉 またお話しよ😆✨❤️
@____saaaki0602  でしょ😂😂😂😂
@amaomi8312  うん😳💗💗💗
@_rinata10___2  ありがとう😽😽
@ayari0105  ありがとう🌸 以外！！！笑笑
@shappygirl321  だめえええぇええええむりいいいいいいい🌪🌪🌪🌪🌪🌪🌪
@Hi7Ka0Ru4  ありがとう😆🌷
RT @_riyo68: 「好き勝手してください」ってメールを 残して家出した奥さんに対して 「好き勝手していいんだよね？  じゃあ今から迎えに行くよ」って 返信するアンタッチャブル柴田が 女心わかってて男子力高すぎ 👏
@katoyaya1222  あざす😳💖💖
@S_12609  うん😘❣️❣️
@yuit_37  入れてほしそうだったから入れてあげた😘😘
@BucciWowwoo  あんなの話も聞きたいいいい😽
@Nn_m_n_1  あえて聞きたい。👿
@__gon_chisa__to  いえいえ😘❣️
@riko_funfun43  りこいないの〜？？
@n_aaa_tk  うん😭💕💕
@mitsuki000921  ありがとっ🍓😜😍
@june_1706  いやいやそんなことはない 🌪😿 ジュネちゃんたちもお幸せに😍
@renamin15  いえいえ！
RT @BB_SNSD_: 🌟💖6months anniversary💖🌟  ほんとに毎日一緒にいる👫 のに全然飽きない🌈🤤🤤 とても可愛くて可愛くて仕方ない！！大好き！！😆🌸💓 これからも 黒×黒couple👿よろしくです😂 https://t.co/07vCjBJ4eJ
RT @otoha___AOA___: 💙 AOA 💙  『Bing Bing』  勇敢な兄弟プロデュースでAOAカムバック✨ めっちゃ綺麗で可愛い💓  #AOA #カムバ https://t.co/hpoO95CLla
@gokigen0558  おかのお誕生日おめでとう🎂🎈 赤点取らないように頑張って😜
RT @bts_sakisaki: 02年生 丁程鑫(ディンチャンシン)君 中国TFエンターテイメント所属の練習  普通にタイプ過ぎてやばい https://t.co/SQqXxuuVsE
@takamari__0506  まりなちゃんおめでとう☺️😉❤️❤️
@m_o_e_423  もえちゃんおめでとう😳❣️❤️
@june_1706  ジュネちゃんおめでとう🌸🌷😽
RT @08LJAPAN: 💚 あいつ：愛を伝える💚  「W.Labのホワイトホリック」 🈸参加方法：①フォロー＆RT ②https://t.co/7kRetP6Btn 情報入力  締め切り：1月8日15時迄、総20名様(FB&amp;IG共同) 楽天 : https://t.co/3…
RT @tsu2217: if youのアカペラいい！ 5人の歌のうまさがよく伝わる😭 (イヤホン推奨) #BIGBANG #アカペラ https://t.co/5Ry7esFC6b
ソウルコン、、、(´；ω；｀)つ(´；ω；｀)つ
RT @bb___87: . Dec.31🐒 Jan.1🐔 A Happy New Year⛩🌅🎍 年越しはしょーくんと🤡 2人で青鬼して叫んでて気づかなかった🤣🤣🤣 おみくじ似たような事書いてあって今年は穏やかに過ごそうと思いました😃 今年もよろしくお願いします🌈 . htt…
RT @bb___87: . Dec.26❄⛄ 時之栖イルミネーション🦄🌈🌟 綺麗すぎて興奮して暑かった🔥 スタバ新作も美味しかった🍭🌿 パリピで楽しかったです🚨🚨 . https://t.co/BVHMKVYRsS
#dada #ドライブ #カフェ #instagood #instalike #f4f #fff https://t.co/BBKOpOBc8m
#instalike #instagood #f4f #fff #dada https://t.co/oLKau4p92g
RT @4snfa0kaj8F1Td8: *  【 第95回 全国高校サッカー選手権大会 】    ✔️  それぞれの明日へ  /  家入レオ    #第95回全国高校サッカー選手権大会 https://t.co/eDElBYHgav
RT @m17GD: じよんさん可愛い！！仔犬すぎる🐕💕 cr.pic https://t.co/RlMF1FmWOW
RT @acobrick: ファンが待ってるからそれでも行く！』と尚抗議して私達に会おうとしてくれたそう…でももしここで規約を破ったらBIGBANGはもう今後日本でコンサートをする事はできないので泣く泣く諦めた。私達の声はちゃんと届いていたんだね感動した #BIGBANG_SP…
RT @oic_oic_: “乱暴で怒りん坊 だけど、どこか憎めない”  そう言ってくれたあなたへ  #デイジー生誕祭 https://t.co/5I5OfMIVur
RT @08LJAPAN: 💛あいつ：愛を伝える💛 「W.Labの皮脂キルパック」 化粧のノリが悪い原因、三つの皮脂汚れ 根本的に解決できる皮脂KILLパック 🈸参加方法：①フォロー＆RT ②https://t.co/7kRetP6Btn 情報入力  締め切り：1月9日15時迄…
RT @08LJAPAN: 💜あいつ：愛を伝える💜 「13MONTHのパールシャドウ＆リップスティック」　 シャドウ（1個）+リップ（3色中1色ランダム） 🈸参加方法：①フォロー＆RT ②https://t.co/7kRetOP04N 情報入力  締め切り：1月12日15時迄、…
@Ryota1319  りょーた😆 おたおめ〜🎂🎈🎉
@m__hi19  みひろちゃんお誕生日おめでとう🎂🌸❣️
@hxxx_0109  ほのかさん❣️ お誕生日おめでとうございます🙄🎂💖ほんとに可愛すぎます😳
@Ryota1319  たしかににてる笑笑 あけおめ！おたおめ！ことよろ！
@nS_028  なるみちゃん🌸 お誕生日おめでとう🎂👑❣️ また会ったら写真とろ〜📷💔
@Ryota1319  ありがとですw
@hxxx_0109  いえいえ！ 会いますね❣️
@Yu110Sa  ゆきちゃん🙄💖 お誕生日おめでとう❣️❣️ もう12年くらいの付き合いだよね😂😂😂 また新大久保いこーこーこー😍 いい1年にしてね😽🌸❤️
え、やったあ((( °_° )) 当たった😂😂😂😂😂😂❣️ https://t.co/kvy4UkB1bw
RT @08LJAPAN: 🎁あいつ：愛を伝える🎈当選発表 「W.Labの皮脂キルパック」 IG：13名 TT：@mochiro126 @crazysamunail @tom_s2_74 @sirokitune0412 @manmaru0703 @M_tr__0620 @bb_…
@_____nemui____  ニキビ消えるかなあ？！！？！早く欲しい😆😆😆😆
久々に放課後JKしてきた😆😆🌷 めちゃっちゃちゃ楽しかった😆 このメンツ久しぶりすぎるけどやっぱ楽しすぎwwwwww ずっと笑ってた😂😂 https://t.co/jltb2WNYpE
@not__ntn15  かなちゃんおめでとう😍😳❤️
RT @K_POP_SUKI: TOPさん、なにこれw https://t.co/CvwSNS57v9
RT @K_POP_SUKI: 「週刊アイドル」BIGBANG G-DRAGON - CHEER UP https://t.co/p5SoOmoh2Z
#ハート生チョコまん #セブンイレブン #季節限定 #winter #instagood #f4f #fff https://t.co/6Ntb09OZys
RT @bb___87: #ハート生チョコまん #セブンイレブン #季節限定 #winter #instagood #f4f #fff https://t.co/6Ntb09OZys
RT @m17GD: 倍速のバンバンバン何回観ても笑える！！アラサーのおじちゃんたちが必死すぎて可愛い！♡ https://t.co/70uLV3d2wH
RT @biggbangzzz: 【FXXK IT/BIG BANG】  衣装ちょーかっこいい😍 Cメロからのサビの盛り上がり方最高！！ Put Your Hands Up In The Air🙋🏼‍♂️🙋🏻  #bigbang #fxxkit https://t.co/w32…
RT @m17GD: BIGBANGおじちゃんたちの可愛すぎる キヨミソング（韓国の数え歌）まとめ！♡  1 + 1  = キヨミ 2 + 2 = キヨミ 3 + 3 = キヨミ 4 + 4 = キヨミ 5 + 5 = キヨミ 6 + 6 = …キーヨーミ！！♡  ＼可愛い可愛…
もう会いたい😿😿 2年後かな、、、😿😿 ほんとにむりだあああ😿😿 ほんとにほんとにいきがいなくなる💔💔💔
@tomiiiii_54521  ひとみちゃん お誕生日おめでとう🌸❤️🎂
@n5lgt_8a  おめでとうございます😳❤️
@323_akane @sekikai0401  おめでとうございます😍💖🌷
RT @m3g7q: サッカー新人戦静岡東部　飛龍ー韮山　富士東ー吉原　暁秀ー沼津東　伊豆中央ー日大三島 御殿場南ー加藤学園　沼津工ー沼津西　桐陽ー伊豆総　富士市立ー富士 県大会枠１０
@323_akane  いえいえ😳🌸
@n5lgt_8a  いえいえ🌼 ええええ😭😭💗ありがとうございます😭😳💖
RT @m17GD: インガのカメラアングルが最高すぎる。ちょこちょこ映るたぷさんの寂しげな表情にグッとくるし「BIGBANG大好き！」「ずっとついていきます！」って気持ちになる！！♡  年末の京セラでよんべが「最後じゃないから」って言ってたけど、この映像は泣いちゃうな。  「…
RT @ygent_official: [BIGBANG - 'LAST DANCE' 0115 SBS Inkigayo] (출처 : SBS 인기가요 | 네이버TV) https://t.co/dOHB8qv8aW #BIGBANG #빅뱅 #MADE #THEFULLA…
@_____nemui____  みたいみせてみせてみせて
RT @08LJAPAN: 👝あいつ：愛を伝える👝 「THE FACESHOPのディズニークッション」 3種中、1個（ランドム発送） 🈸参加方法：①フォロー＆RT ②https://t.co/7kRetOP04N 情報入力  締め切り：1月19日15時まで、総6名様(FB&amp;IG…
#check #red #instalike #instagood https://t.co/5m5TwCFiVb
#dars #winter #chocolate #instagood #instalike #fff #f4f https://t.co/ajA76hIH9D
RT @McDonaldsJapan: なんと！👀1/25(水)に #三角チョコパイ から新しい仲間が登場！🎉いちごチョコクリームをピンク色のパイ生地で包んだ #三角いちごチョコパイ 🍓🍓🍓✨いちごがほんのり甘酸っぱくて、まるでファーストキスの味😘💋発売をお楽しみに！😍🍓 ht…
@___hi_ragi___  おめでとう〜🌷😍
喧嘩してたのに体調悪いの知って届けてくれた〜😭😭😭 1日話してないだけで寂しかった〜😭😭 考えてる事同じでぷぷぷ🙄😳✌️ やっぱり大好き〜😭😭😭😭 https://t.co/vdcakGkHnA
RT @utauma_movie: ねえ、これ知っとる人いる？ まじ懐かしすぎるやばい感動😂😂 https://t.co/QJt0BtBWRz
RT @ulzzang_media: 🇰🇷✨韓国で話題になった少女時代テヨンのSEXYな広告💕  #韓国 #KPOPアイドル #少女時代 #テヨン https://t.co/dXBYYRQZ32
BINGOってゆう単語がずっとBIGBANGにしか見えなくて英語の時間ひたすら妄想してた💔💔
2OODays🤤🌹❤️ 今日はしょーくんがお弁当を作ってくれてとても幸せだった🤤🍱 すべてが可愛かった😳💗 た、、た、た、玉子焼き😳🤤 もうほんとかわいい🙄 大好き🤤🤤💗 これからもよろしくね☺️🌸 （お弁当も😍） https://t.co/pTgyBc5MJN
RT @6xPZGo1ZPICg3ru: 昨日で200日😘😘 大好きとか言っとく😇😜💕 https://t.co/A3DLDfgLSq
RT @ygent_official: [2NE1 - '안녕(GOODBYE)' COUNTER] originally posted by https://t.co/XZQ3IOI9MY #2NE1 #투애니원 #안녕 #GOODBYE #DIGITALSINGLE #MV…
#love #f4f #fff #instagood #instalike https://t.co/NNlu1LNjAG
#08japan #f4f #fff #instalike  #皮脂キルパック #当選 https://t.co/s0NZUi6vie
RT @Kstyle_news: 元2NE1のBOM、グループ解散の心境を告白“世界で1番辛い言葉「さようなら」” https://t.co/cG6qaUSAQ1
@uwasa_company  #UWASAプレゼントB が欲しいです😭😿🙄🙇‍♀️🙇‍♀️
RT @uwasa_company: 《 #プレゼント企画 》 #イヴ・サンローラン #ヴォリュプテティントインバーム 3色(A.B.C)💄 ①(@uwasa_company)をフォロー ②色を選んで返信 ③このツイートをRT ④応募完了 ※②の詳細は画像にて #プレキャン #…
RT @kor_celebrities: RED VELVET、TWICE、LOVELYZ、gugudan、皆んな2月カムバック。少し調整し、分散して欲しい。。 「gugudan」のまとめLIVE： https://t.co/YVdTwFNYsP https://t.co/ll…
#三ヶ日みかんとつぶやくとフォロ爆がくる
#emoda #jelly #付録 #make #fff #f4f #instalike https://t.co/AcXxzs3TnP
RT @m17GD: じよんさんの黒髪やばい！！大好き！かっこいい！やっぱり男は黒髪短髪派です！♡ cr.pic https://t.co/5eBFXe0XEG
#heart #bear #snow #f4f #fff #❤ https://t.co/H7p1ZEHccf
#08japan #皮脂キルパック #brack #当選 #fff #f4f #instalike https://t.co/oRijgdE9lU
RT @Dennys_PR: 🍓🍓🍓🍓🍓 デニーズは🍓苺🍓づくし！  みずみずしい苺がたっぷり⤴ 今日は何にしよう？サンデーにガレット、ムースパイなど選べる楽しみも🎵  詳しくは⏩ https://t.co/Gj5YAQIlKZ 🍓🍓🍓🍓🍓  #デニーズ　#苺 https://…
@hidarisaido10  ひらちゃーん🤑🤑 お誕生日おめでとう🎂🤤 またしそじゅんでも遊ぼ〜✌️😆 勉強頑張れ😑😑😑
@amusutaa23  まいまい😍 お誕生日おめでとう🎂😳🌸 いい一年にしてね😮❤️
RT @__taexiu_cy_Bam: 🌸ソンムル企画第四弾🌸  ✅Tonymoly リップティント       レッド  オレンジチャチャ  沢山あるのでソンムルします🌱🌱 2枚目を見てから参加お願いします🙇🏾🙏🏾 参加方法のどれかを満たしていない方は参加になってないので気…
@__taexiu_cy_Bam  赤色欲しいです🙇‍♀️インスタフォローします😍
@GD0818_1212 RD302でお願いします🙇‍♀️インスタフォローします🙇‍♀️🌸
RT @Taeyang__99: 선물 기획!  BIGBANG Fragrance mist  締切は31日 💭 当選発表は1日にDMにて行います 💭  #プレゼント企画  #ソンムル企画 https://t.co/nSvD6nt0BZ
@Taeyang__99  参加したいです🙇‍♀️🙇‍♀️
@GD0818_1212  参加させてください🌸 右から４番目でお願いします🙄 インスタフォローします🙇‍♀️
RT @m17GD: じよんさんご機嫌すぎて可愛い〜！！めっちゃルンルンしてる！！楽しそう！！♡ cr.lauttiga https://t.co/Yns9Hsj6h9
@_kwyk  え、まってあたしのパパも、明日誕生日wwww
@__taexiu_cy_Bam インスタフォローしました😆💖 kyO.です😆
@_kwyk  まじ！爆笑 だね😂😂😂😂😂
@altosax_0125  えみりちゃーん！😳💖 お誕生日おめでとう🎂 最近会わないね😭 また会ったら話そ〜写真もとろ😆😆💗
@__taexiu_cy_Bam  いえいえ😳💖
RT @McDonaldsJapan: 1/25(水)から #三角いちごチョコパイ 🍓が新登場🎉✨いちごがほんのり甘酸っぱい🍓💕ファーストキスの味をぜひ店頭で😘大好評の #三角チョコパイ黒 ▲も引き続き発売中です💖 https://t.co/AgIUle89W7 https:/…
RT @K_POP_SUKI: 2月1日0時に新しいアルバム「Rookie」の全曲音源を公開するRed Velvetは、3日に放送されるKBS2TV「ミュージックバンク」を皮切りに、各種音楽番組に出演してカムバック舞台を披露する。 https://t.co/PmpMjD5DTD
RT @m17GD: 「 ままとお姉ちゃんとぼく。in ぱり」  くぉん家集合してる｡･ﾟ(ﾟ⊃ω⊂ﾟ)ﾟ･｡最高！♡ https://t.co/NbpJeeJQuH
RT @m17GD: タバコを吸う人は嫌いなのに、  タバコを吸うじーどらごんは  たまらなくかっこいい🚬💕（笑） http://t.co/Kwp7XLYVuQ
RT @Gaia829Gaia: 面白かったらRTお願いします🙏🙏 https://t.co/zt0dqgCfB0
放課後ダダダブルデート🤤🌈 楽しかった🤤🌈💓 https://t.co/z3fPAImuh4
@_____nemui____ @k_miii082  さえもはいる？？
@hrk__127  はるかちゃんお誕生日おめでとう🙄🌸❤️ また会えたらいいね😆😆💖 い一年にしてね😆
@yuki__0127__n  ゆきのちゃん😳😳 おめでとう〜😭💗💗
RT @rm1005_0818: _  ＂     とうぶんのお別れです。      元気でいてください。      すごく会いたくなると思います。      その恋しい気持ちをもって      さらに成長し、また戻ってきます。      Good night V.I.P JA…
#放課後デート #部活終わり #ダブルデート #青春 #f4f #fff #instalike https://t.co/MIJLXF0n0R
@n_a_g_a_k_u_r_a  おめでとうございます(*´▽｀)ﾉﾉ
@hrk__127 いえいえ😆 ありがとう😭😭😭😭💖💖💖
RT @yma_fc11: 高校サッカー 新人戦 静岡 [東部地区]  県大会出場校 10校  1位:飛龍 2位:富士市立 3位:日大三島 4位:加藤学園 5位:加藤学園暁秀 6位:沼津西 7位:伊豆総合 8位:富士東 9位〜10位:吉原、富士  #高校サッカー
@bb___87 @k_miii082
@_BelleFelicia_ はじめまして😳 綺麗すぎます！❤️ そしておめでとうございます😍
RT @wababa_music: ❤️red velvet ❤️  " #Rookie "📺🎶💗 Teaser #2   2月1日P/V公開💖  #韓国情報 #ワババ #wababa #와바바 #ワババミュージック https://t.co/7nUyilWKmD
@R_I_O_22  りおさんおめでとうございます😍
#08LJAPAN  #皮脂キルパック 届きました😳 すーすーしてスッキリしてほんとにたくさん取れて効果抜群💯❕ リピりたい🔄 ありがとうございました😆❣️ https://t.co/xlUYWN4l4A
RT @m17GD: 「 最後 」  こんな映像の演出があったなんて(；_；)。  #BIGBANG #LASTDANCE https://t.co/8SHc3b4CRM
RT @yma_fc11: 高校サッカー 新人戦 静岡 県大会決勝トーナメント組合わせ  2/5(日) 1回戦  Aブロック 清水桜が丘vs浜北西 加藤学園暁秀vs掛川東 浜松開誠館vs藤枝明誠 静岡西vs富士市立 藤枝東vs富士 浜名vs加藤学園 伊豆総合vs常葉橘 吉原vs…
@ayari0105  あやりんおめでとううう😭😍 ちゃんといえなくてごめん😿😿
今日はノリで りかこと大仁ラーメン🍜🤤🌿 話盛り上がりすぎて楽しかった💯
@k_miii082  かなみおめっと🤤🎊❣️
@ayari0105  いえいえ💖ありがとう😭
@R_I_O_22  いえいえ😆❣️ ありがとうございます😭😍
@k_miii082 いえいえ🌸 それ😤✌️どこいくか〜😁
RT @meehnim_mani: 韓国語版の なんでもないや  coverのやつだけどすごく綺麗な声😌👂🏻❤️❤️❤️  #너의이름은  #manigirl https://t.co/hZKNUUoNof
今年のバレンタインなんでか 1万円くらいかかったわ🤧🤧🤧 心と財布がえぐられた🤢🤣
RT @K_POP_SUKI: Red Velvetは2月1日0時、全6曲で構成された4thミニアルバム全曲を公開する。 同時にタイトル曲「Rookie」のミュージックビデオを公開。 https://t.co/tBi6voLBRX
RT @m17GD: ー出会いがあれば別れがあり 別れは再会の約束でもありますー  この映像を観るとあの日の想い出が蘇る。 https://t.co/exS573bDx6
4色のねんどで作った🌈🎈 #fff #f4f #絵文字 https://t.co/WcwfIBvZ8I
@sibadogyuru  ゆいちゃん お誕生日おめでとう〜🌷😚💖
@yrn__320  ぺっぺおめでと😍🌸💖💖
@sibadogyuru  いえいえ😁❣️
@yrn__320  いえいえいえいえいえ💯😳😳
@_LDH0312  あれ レイナが映ってるやつじゃないんすか？？😆
@_rinata10___2  りなちゃんおめでとう💐💖
@noa_0203  のあちゃん😍 お誕生日おめでとう😚❣️🎂
@gaku_K_05  お誕生日おめでとうございます😁✌️
@gaku_K_05  いえいえ😆
@noa_0203  いえいえ😊🌸
@keita_LDHlove  お誕生日おめでとうございます😂 意外と会いますね😂 いい1年にしてください💐
@_M_0204  みくちゃん🙍🏼🌸 お誕生日おめでとう❣️😆 オシャレで素敵〜😳💖 また会ったらお話ししよ〜😆😆
@hatayuta1124  お誕生日おめでとうございます😆 いい1年にしてください✌️😂
@__gon_chisa__to @NSBk7GOrX1uCbfd  ごんごんじゅんちゃんおめでと〜🌸😳
❤️7months❤️ いつも笑わしてくれるまいぶー🙋🏿‍♂️ いいこいいこするのが上手💯 これからもよろしくくくっ✌️❣️ ほんとに自慢できる人😍😍 あいらぶゆー😘 https://t.co/0Qsfxerscz
@hatayuta1124  頑張ります✌️
@_M_0204  ありがとう〜😭💖 うん！！
@___hi_ragi___  一番だ〜💖🙄 ありがとう😚😚
@uri3p  じゅりちゃんありがとう😳❣️
@amaomi8312  あまねんありがとううう😆❤️❤️❤️❤️❤️
@hon__29  ほのかちゃんありがとう🌸😍
@_____nemukunai  あら！みとありがと😘😘
@BucciWowwoo  あんなありがとう😚😚😚💖
@ayari0105  あやりんありがと😆🌷🌷
@shappygirl321 忘れんなや😈 それな！それな！楽しみ！どこにするか！
@june_1706  ありれとう😝😝💖笑
@_kwyk  ありがとうっぴ✌️😻
@muroyu0510  ゆうかちゃんありがとう😿🍓
@miho_s_0807  いやん！みほさんありがとう😘😘 み、みほも、、おめでと？？😳☺️
@yuki__0127__n  ゆきのちゃんありがとう😭❣️
@k_miii082 かなみーーーんありがと❣️😻 それな〜😚😚計画しよ！
@aiaika120901  あいかちゃんありがとう😭❤️
@0620_maho  ラブリツありがとう😭😭 嬉しい❣️❣️ありがとう😆💖
@Ayaho0614  いやんあにほさん😍😍 ありがとよ😝
@shii_____84 ひろよちゃーーん！ ありがとう😚😚❣️
@yuuka00135  ゆうかちゃんありがとう😿❤️❤️
@whiteangel0529  てんし〜爆笑 誕生日ではないかな？😂
@n_aaa_tk  なつきちゃんありがとう🙄🌷🌷
@NSBk7GOrX1uCbfd  いいえ〜ん！ ありがと😳🌸
@_rinata10___2  りなちゃんありがとう😭❣️
@shappygirl321  いいお😘😘😘 帰ったらソッコー支度するね（きっと4時とか5時
@_____rr02  おぬしほんとはまがおで打ってるんだろ☺️☺️☺️☺️☺️
@gpedfg  みづほちゃんありがとう😻😻
@_____nemukunai  なに！そゆこと！？😂 さすが頭良いわ（？）🙄💖👏👏👏
@HukuNatsuki  ありがとう😳💗
@t_m___xxx  みのりんありがとおおお🤧🤧🤧❣️
@me___0105 ありがとう😿🌷❤️
@Hi7Ka0Ru4 ひかるちゃんありがとう😊❣️
@3jsb0710hazuki  ありがとう😊だね〜、、、😭
@_LDH0312  あられいなさんありがと😘😘
@amusutaa23  まいまいありがとう😳💖
@shappygirl321 りりり
@______sy13  あかりんありがとう😆😆💗
@m_o_e_423 もえちゃんありがと〜☺️🙄❣️
@_M_0204  ありがとう😍
@june_1706 押してみ押してみ！笑
@sfvW1I7dgJbgdRb  みゆちゃんありがとう🌸🙍🏼
@Mtsmt410 まきさんありがとうございます😳💗💗
@yuit_37  大丈夫よ！！笑ありがとう😆❤️
@spongebob_0330  まいかさんありがとうございます😳💖💖
@_____nemui____ お前怖いわwww さえちゃんありがとう😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻😻
@yrn__320  ぺっぺありがとう〜😿😳❤️❤️
RT @bb___87: ❤️7months❤️ いつも笑わしてくれるまいぶー🙋🏿‍♂️ いいこいいこするのが上手💯 これからもよろしくくくっ✌️❣️ ほんとに自慢できる人😍😍 あいらぶゆー😘 https://t.co/0Qsfxerscz
@_____rr02  りかこ❣️❣️❣️ お誕生日おめでとう🎂💐 ちびでキチガイで可笑しいりかこがとってもスキ😝💗💗 経験が似てて同じ考えとか同じところたくさんあってぷぷぷって感じ☺️☺️☺️☺️💯 これからもよろしくね😍 いい… https://t.co/P5f8hHw47k
@canon1O22 かこさん😳 ありがとうございます😿😻😻
@__gon_chisa__to  ありがとう😍😍💖
@whiteangel0529  うける😂😂ありがとう😆💗
@_____nemukunai  ありがとう😳💖💖
@_LDH0312  あら奇遇😳あたしもやってあげていいよ😻
@shii_____84 あざす😚😚😚
@_____rr02 ふっ(⌒▽⌒)
@ayari0105  ありがとう😚😁
@3JSB_sakugun  大丈夫😁 嬉しい😳❣️ありがとうございます😍😍
@takamari__0506  まりなちゃんありがとうううう😆💖
@067OO みさきちゃんありがとう😭❣️❣️
@am_22_06  みお先輩ありがとうございます💖😲
@Nana02064 ななありがとう〜❤️❤️😁
@_____nemui____ んなわけ(´-3-`)
@_____rr02 @___oorin  リカコ黒◼◼◼◼◼◼
. Jan.O5💖  元函中🇯🇵 この人達ほんとに楽しい🐔🐔 また集まろ❣️だいすき💯💯 . https://t.co/s744lcCPRX
@takamari__0506  まりなちゃんおめでとう〜😳❤️❤️
@Nana02064  なな〜😍😍😍 お誕生日おめでとう🎂🎈🎉 いつも会うと手振ってくれてありがと❣️😳 また今度遊ぼ😝😝😝
RT @bb___87: . Jan.O5💖  元函中🇯🇵 この人達ほんとに楽しい🐔🐔 また集まろ❣️だいすき💯💯 . https://t.co/s744lcCPRX
RT @BBxTOPxM: タプ インスタ訳😢💓  “会いたいよ、弟たち。 とても会いたいけど、会わないで入るよ あっかんべ” https://t.co/ifLTEuX0pJ
@m_o_e_423  もえちゃんおめでと〜😆🙄❤️❤️
@spongebob_0330  おめでとうございます😍😳❣️
@__77chr  るかちゃん😆 お誕生日おめでとう🌸💖💖
@coco418r  りほちゃん お誕生日おめでとう💐🌸 いい1年にしてね🌱❤️
@hsmtysn169  よしのさんおめでとうございます😍💖
@PEco____2R  りんかちゃん お誕生日おめでとう😻💗 いい1年にしてね🌼😊
RT @biggbangzzz: 【T.O.P 明日入隊】  とうとうT.O.Pが明日入隊。。。 悲しいけどまたBIGBANG5人が揃う日を待っています。  #bigbang  #top入隊 https://t.co/atehkfUBo0
@coco418r  いえいえ😁😻😻 よかった〜🤤🤣🤣🌹
@0209_ama  あまね先輩😻 お誕生日おめでとうございます🤤❣️ いつも話してくれてありがとうございます😳🍓 いい一年にしてください💓💓
@m2091x  めぐみちゃんおめでとう😻💓💓
@__Mintia09  初めまして😳 あすみちゃんおめでとう😻💓
@0209_ama  はい！！😍😍😍😍😍😍😍
@m2091x  いえいえ😳💓
@hsmtysn169  いえいえ😍
@PEco____2R  いえいえ😳🤤💓 受験頑張ってね😁😊❣️
@__77chr  いえいえ😊❤️❤️ そんなこと〜（；＿；）ありがとう🤤😳❤️
@spongebob_0330  いえいえ😻😳
@Nana02064  いえいえ😳❣️ ありがとう〜🤣🤣😍
@takamari__0506  いえいえ〜😍💓💓
タプさんに会えない2年間はどうなっちゃうんだろう😓 ガ！ン！バ！レ！👍💥 사랑해요💓 조심하세요🤞❕다녀오세요😢👋 https://t.co/Ku0Zcrrf06
@__Mintia09  いえいえ！😳 ほんとに可愛くていつも目の保養😻😻😻
@PEco____2R  うん😚👍👍
@__Mintia09  ほんとです😳❣️❣️ だね〜🌟🌟
@ame2105  みぶきちゃんお誕生日おめでとう😻💖💖
